method,kl_div,seed,p,n
cslearn+pc (mle),0.8412873961522112,2,20,250
cslearn+pc (mle),0.8210833280584495,3,20,250
cslearn+pc (mle),0.7168532593018704,4,20,250
cslearn+pc (mle),0.386793296568688,5,20,250
cslearn+pc (mle),1.1680040120658808,6,20,250
cslearn+pc (mle),0.8150407209480259,7,20,250
cslearn+pc (mle),1.070695780479957,8,20,250
cslearn+pc (mle),0.903361355428149,9,20,250
cslearn+pc (mle),0.928343962812452,10,20,250
cslearn+pc (map),0.894693695235822,1,20,500
cslearn+pc (map),0.6686072691072271,2,20,500
cslearn+pc (map),0.6706343709657363,3,20,500
cslearn+pc (map),0.5371779243307304,4,20,500
cslearn+pc (map),0.3049269104002168,5,20,500
cslearn+pc (map),0.9449045863079076,6,20,500
cslearn+pc (map),0.6310747241736413,7,20,500
cslearn+pc (map),1.0094824737211885,8,20,500
cslearn+pc (map),0.8799486359023685,9,20,500
cslearn+pc (map),0.6877082221996331,10,20,500
cslearn+pc (mle),0.8959336700494789,1,20,500
cslearn+pc (mle),0.669491250796902,2,20,500
cslearn+pc (mle),0.671350783118302,3,20,500
cslearn+pc (mle),0.5378416994425462,4,20,500
cslearn+pc (mle),0.3102326326701039,5,20,500
cslearn+pc (mle),0.9474033883467766,6,20,500
cslearn+pc (mle),0.6107177704882745,7,20,500
cslearn+pc (mle),1.0110905857088193,8,20,500
cslearn+pc (mle),0.8794900492724185,9,20,500
cslearn+pc (mle),0.6844673669571502,10,20,500
cslearn+pc (map),0.5759974514377904,1,20,1000
cslearn+pc (map),0.5768599160774047,2,20,1000
cslearn+pc (map),0.6734384950033179,3,20,1000
cslearn+pc (map),0.5988776590318683,4,20,1000
cslearn+pc (map),0.23052297873733,5,20,1000
cslearn+pc (map),0.7946636901951707,6,20,1000
cslearn+pc (map),0.556668114460267,7,20,1000
cslearn+pc (map),0.792782024377255,8,20,1000
cslearn+pc (map),0.8379465177179086,9,20,1000
cslearn+pc (map),0.6014415975473972,10,20,1000
cslearn+pc (mle),0.5759826017951093,1,20,1000
cslearn+pc (mle),0.577068781266352,2,20,1000
cslearn+pc (mle),0.6737257170545816,3,20,1000
cslearn+pc (mle),0.5996710906631046,4,20,1000
cslearn+pc (mle),0.2314889857874963,5,20,1000
cslearn+pc (mle),0.7949114967739713,6,20,1000
cslearn+pc (mle),0.5566495748726568,7,20,1000
cslearn+pc (mle),0.7897687408942047,8,20,1000
cslearn+pc (mle),0.834676726207341,9,20,1000
cslearn+pc (mle),0.5989565657142285,10,20,1000
cslearn+pc (map),0.2379372771808565,1,20,10000
cslearn+pc (map),0.4347105041543654,2,20,10000
cslearn+pc (map),0.5690304383432899,3,20,10000
cslearn+pc (map),0.4754218876101906,4,20,10000
